sample_index;forward_barcode;reverse_barcode;count
i3001;FB201772;RB201772;25460
i3001;FB201507;RB201507;3644
i3001;FB203264;RB203264;688
i3001;FB200972;RB200972;28201
i3001;FB201397;RB201397;983
i3001;FB202538;RB202538;1222
i3001;FB203089;RB203089;2087
i3001;FB201251;RB201251;2910
i3001;FB201778;RB201778;182
i3001;FB201782;RB201782;280
i3001;FB201537;RB201537;13461
i3001;FB200755;RB200755;22660
i3001;FB202020;RB202020;365
i3001;FB200489;RB200489;291
i3001;FB201706;RB201706;11492
i3001;FB201259;RB201259;722
i3001;FB201461;RB201461;3960
i3001;FB200735;RB200735;175799
i3001;FB202726;RB202726;126
i3001;FB202068;RB202068;1185
i3001;FB201363;RB201363;1072
i3001;FB202581;RB202581;613
i3001;FB201135;RB201135;20437
i3001;FB201566;RB201566;2442
i3001;FB201824;RB201824;4809
i3001;FB200564;RB200564;4863
i3001;FB203249;RB203249;3873
i3001;FB201366;RB201366;7393
i3001;FB200266;RB200266;72301
i3001;FB201738;RB201738;122
i3001;FB200617;RB200617;4581
i3001;FB201780;RB201780;304
i3001;FB200725;RB200725;1210
i3001;FB201494;RB201494;1905
i3001;FB201531;RB201531;2609
i3001;FB201796;RB201796;54
i3001;FB202405;RB202405;247
i3001;FB201199;RB201199;4064
i3001;FB200502;RB200502;38
i3001;FB201999;RB201999;2318
i3001;FB200396;RB200396;209
i3001;FB200007;RB200007;33
i3001;FB200245;RB200245;189
i3001;FB200265;RB200265;239
i3001;FB202407;RB202407;144
i3001;FB202663;RB202663;618
i3001;FB201257;RB201257;19176
i3001;FB201162;RB201162;615
i3001;FB202579;RB202579;334
i3001;FB200992;RB200992;126
i3001;FB203364;RB203364;3975
i3001;FB202169;RB202169;2606
i3001;FB200298;RB200298;948
i3001;FB200563;RB200563;206
i3001;FB202465;RB202465;4392
i3001;FB200120;RB200120;103
i3001;FB201683;RB201683;17787
i3001;FB202570;RB202570;26042
i3001;FB201501;RB201501;2200
i3001;FB201655;RB201655;10742
i3001;FB202857;RB202857;2116
i3001;FB202079;RB202079;457
i3001;FB201616;RB201616;5620
i3001;FB200402;RB200402;2571
i3001;FB201239;RB201239;1642
i3001;FB202994;RB202994;1215
i3001;FB200702;RB200702;843
i3001;FB201878;RB201878;267
i3001;FB201077;RB201077;285
i3001;FB200741;RB200741;3585
i3001;FB201062;RB201062;8181
i3001;FB203293;RB203293;246
i3001;FB203328;RB203328;568
i3001;FB200616;RB200616;314
i3001;FB200919;RB200919;296
i3001;FB200038;RB200038;151
i3001;FB200531;RB200531;415
i3001;FB202534;RB202534;5995
i3001;FB200017;RB200017;755
i3001;FB201950;RB201950;733
i3001;FB2IC031;RB2IC031;1851
i3001;FB201515;RB201515;1670
i3001;FB204214;RB204214;251
i3001;FB202518;RB202518;1070
i3001;FB201230;RB201230;1240
i3001;FB201407;RB201407;4172
i3001;FB202710;RB202710;1652
i3001;FB203327;RB203327;549
i3001;FB200742;RB200742;1855
i3001;FB203319;RB203319;9581
i3001;FB201860;RB201860;2099
i3001;FB200850;RB200850;540
i3001;FB202776;RB202776;1666
i3001;FB201161;RB201161;3869
i3001;FB201592;RB201592;1971
i3001;FB200601;RB200601;122
i3001;FB202103;RB202103;307
i3001;FB203241;RB203241;234
i3001;FB200623;RB200623;2164
i3001;FB201110;RB201110;2643
i3001;FB202860;RB202860;312
i3001;FB200665;RB200665;10589
i3001;FB201313;RB201313;2259
i3001;FB202909;RB202909;4468
i3001;FB200279;RB200279;144
i3001;FB201128;RB201128;18299
i3001;FB200325;RB200325;2180
i3001;FB202006;RB202006;93
i3001;FB202070;RB202070;62
i3001;FB201541;RB201541;4508
i3001;FB201032;RB201032;408
i3001;FB202059;RB202059;9412
i3001;FB202054;RB202054;15786
i3001;FB201193;RB201193;5945
i3001;FB200839;RB200839;190
i3001;FB200065;RB200065;4953
i3001;FB202471;RB202471;176
i3001;FB200103;RB200103;5982
i3001;FB201503;RB201503;2127
i3001;FB201378;RB201378;838
i3001;FB201981;RB201981;1120
i3001;FB201880;RB201880;3752
i3001;FB201256;RB201256;1572
i3001;FB201667;RB201667;83532
i3001;FB201184;RB201184;15680
i3001;FB200764;RB200764;5083
i3001;FB200063;RB200063;2606
i3001;FB201245;RB201245;2910
i3001;FB200789;RB200789;17847
i3001;FB200319;RB200319;688
i3001;FB202060;RB202060;418
i3001;FB200066;RB200066;1210
i3001;FB201352;RB201352;1761
i3001;FB203333;RB203333;2895
i3001;FB201201;RB201201;284
i3001;FB200530;RB200530;266
i3001;FB200473;RB200473;985
i3001;FB201522;RB201522;927
i3001;FB200717;RB200717;139
i3001;FB200149;RB200149;67
i3001;FB202013;RB202013;305
i3001;FB201025;RB201025;64
i3001;FB201010;RB201010;20265
i3001;FB203365;RB203365;14288
i3001;FB201654;RB201654;10697
i3001;FB203314;RB203314;38
i3001;FB201714;RB201714;19064
i3001;FB201900;RB201900;8034
i3001;FB201458;RB201458;6691
i3001;FB202161;RB202161;439
i3001;FB201246;RB201246;3506
i3001;FB201808;RB201808;229588
i3001;FB200937;RB200937;253339
i3001;FB201151;RB201151;4411
i3001;FB201913;RB201913;7951
i3001;FB201557;RB201557;12423
i3001;FB201442;RB201442;20049
i3001;FB200383;RB200383;366
i3001;FB201254;RB201254;1061
i3001;FB201441;RB201441;4856
i3001;FB201603;RB201603;932
i3001;FB202951;RB202951;3292
i3001;FB202698;RB202698;2670
i3001;FB201620;RB201620;5703
i3001;FB200518;RB200518;4249
i3001;FB200446;RB200446;7357
i3001;FB201871;RB201871;1665
i3001;FB200049;RB200049;897
i3001;FB201577;RB201577;24228
i3001;FB200954;RB200954;668
i3001;FB201499;RB201499;2176
i3001;FB201380;RB201380;997
i3001;FB201292;RB201292;7965
i3001;FB201562;RB201562;2090
i3001;FB200690;RB200690;11898
i3001;FB202089;RB202089;16176
i3001;FB201684;RB201684;8629
i3001;FB201131;RB201131;25214
i3001;FB203075;RB203075;887
i3001;FB201569;RB201569;7006
i3001;FB202045;RB202045;1968
i3001;FB201231;RB201231;5121
i3001;FB201688;RB201688;8640
i3001;FB202419;RB202419;3885
i3001;FB203292;RB203292;454
i3001;FB202159;RB202159;2455
i3001;FB202977;RB202977;17588
i3001;FB201972;RB201972;742
i3001;FB201165;RB201165;1268
i3001;FB200010;RB200010;17208
i3001;FB201476;RB201476;4660
i3001;FB201252;RB201252;589
i3001;FB201910;RB201910;4112
i3001;FB201174;RB201174;6421
i3001;FB202641;RB202641;752
i3001;FB200684;RB200684;2635
i3001;FB202457;RB202457;492
i3001;FB200804;RB200804;1283
i3001;FB200078;RB200078;1021
i3001;FB202767;RB202767;535
i3001;FB201784;RB201784;522
i3001;FB200920;RB200920;1316
i3001;FB200834;RB200834;317
i3001;FB202086;RB202086;911
i3001;FB202277;RB202277;769
i3001;FB200805;RB200805;826
i3001;FB202947;RB202947;200
i3001;FB202500;RB202500;161
i3001;FB200491;RB200491;248
i3001;FB202145;RB202145;3071
i3001;FB200253;RB200253;169
i3001;FB202883;RB202883;4408
i3001;FB201811;RB201811;2847
i3001;FB201843;RB201843;6740
i3001;FB202677;RB202677;5605
i3001;FB200044;RB200044;2269
i3001;FB201288;RB201288;4960
i3001;FB200233;RB200233;947
i3001;FB201634;RB201634;3179
i3001;FB201275;RB201275;4425
i3001;FB201066;RB201066;36531
i3001;FB202356;RB202356;4470
i3001;FB203004;RB203004;41397
i3001;FB201208;RB201208;2787
i3001;FB201388;RB201388;1160
i3001;FB200281;RB200281;938
i3001;FB201225;RB201225;6397
i3001;FB200106;RB200106;486
i3001;FB201249;RB201249;407
i3001;FB201588;RB201588;2118
i3001;FB201590;RB201590;7209
i3001;FB201962;RB201962;1665
i3001;FB203056;RB203056;1047
i3001;FB201898;RB201898;997
i3001;FB202111;RB202111;2706
i3001;FB201496;RB201496;1789
i3001;FB202523;RB202523;1227
i3001;FB201858;RB201858;4056
i3001;FB201036;RB201036;33193
i3001;FB201319;RB201319;44872
i3001;FB202670;RB202670;490
i3001;FB201722;RB201722;18526
i3001;FB200086;RB200086;3276
i3001;FB201977;RB201977;3266
i3001;FB201773;RB201773;3686
i3001;FB200019;RB200019;21704
